# Target Sample Rate: 400 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:09:31.798
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.007236,-0.216,-0.350,0.261,0.487
0.023917,-0.161,-0.448,0.170,0.505
0.036924,-0.099,-0.447,0.202,0.500
0.039436,-0.047,-0.455,0.233,0.514
0.041919,-0.034,-0.458,0.238,0.517
0.048533,-0.021,-0.461,0.239,0.520
0.048639,-0.004,-0.463,0.234,0.519
0.049948,0.009,-0.465,0.231,0.519
0.052125,0.022,-0.471,0.223,0.522
0.054564,0.039,-0.478,0.215,0.525
0.057262,0.057,-0.483,0.202,0.527
0.077698,0.073,-0.485,0.189,0.526
0.082271,0.195,-0.489,-0.008,0.527
0.084796,0.204,-0.505,-0.038,0.546
0.087546,0.208,-0.523,-0.067,0.567
0.090268,0.212,-0.536,-0.096,0.585
0.092337,0.212,-0.547,-0.127,0.600
0.100198,0.212,-0.558,-0.158,0.617
0.104952,0.225,-0.656,-0.258,0.740
0.107338,0.231,-0.697,-0.278,0.785
0.110299,0.239,-0.746,-0.299,0.838
0.119860,0.248,-0.802,-0.319,0.898
0.122806,0.286,-1.040,-0.407,1.153
0.125275,0.291,-1.102,-0.428,1.217
0.134238,0.291,-1.180,-0.452,1.296
0.137874,0.259,-1.536,-0.529,1.645
0.140329,0.246,-1.631,-0.542,1.736
0.143010,0.234,-1.734,-0.551,1.834
0.148325,0.227,-1.840,-0.554,1.935
0.148537,0.223,-1.956,-0.555,2.046
0.150517,0.223,-2.080,-0.549,2.163
0.152883,0.226,-2.203,-0.536,2.279
0.155727,0.226,-2.318,-0.521,2.387
0.157953,0.217,-2.419,-0.499,2.479
0.164750,0.213,-2.511,-0.473,2.564
0.167984,0.245,-2.840,-0.407,2.880
0.170572,0.263,-2.958,-0.388,2.995
0.173642,0.282,-3.084,-0.376,3.120
0.175570,0.298,-3.213,-0.374,3.249
0.182543,0.313,-3.349,-0.375,3.384
0.185774,0.344,-3.790,-0.408,3.827
0.188559,0.347,-3.933,-0.419,3.971
0.190947,0.339,-4.071,-0.431,4.108
0.198986,0.320,-4.210,-0.447,4.246
0.203202,0.177,-4.661,-0.527,4.694
0.206120,0.131,-4.725,-0.542,4.758
0.208235,0.075,-4.753,-0.549,4.785
0.215635,0.010,-4.760,-0.546,4.791
0.218577,-0.232,-4.653,-0.527,4.688
0.220933,-0.313,-4.575,-0.519,4.615
0.223610,-0.388,-4.500,-0.518,4.546
0.226062,-0.461,-4.408,-0.518,4.463
0.232394,-0.528,-4.306,-0.528,4.371
0.232641,-0.590,-4.199,-0.550,4.275
0.233704,-0.638,-4.073,-0.573,4.162
0.236217,-0.676,-3.929,-0.589,4.030
0.238739,-0.701,-3.761,-0.606,3.873
0.241205,-0.718,-3.584,-0.615,3.707
0.248934,-0.717,-3.420,-0.620,3.549
0.253770,-0.669,-2.728,-0.582,2.868
0.256454,-0.667,-2.560,-0.573,2.707
0.258711,-0.668,-2.407,-0.569,2.562
0.265194,-0.686,-2.269,-0.578,2.440
0.268683,-0.783,-1.952,-0.592,2.185
0.271187,-0.826,-1.893,-0.603,2.152
0.274172,-0.876,-1.854,-0.612,2.140
0.276689,-0.928,-1.824,-0.615,2.137
0.282992,-0.980,-1.810,-0.616,2.149
0.286412,-1.108,-1.804,-0.593,2.198
0.289067,-1.136,-1.817,-0.589,2.222
0.291604,-1.164,-1.851,-0.592,2.265
0.298578,-1.189,-1.885,-0.589,2.305
0.301650,-1.209,-2.037,-0.600,2.444
0.304189,-1.205,-2.082,-0.603,2.480
0.306761,-1.186,-2.121,-0.603,2.504
0.309111,-1.163,-2.172,-0.602,2.536
0.315409,-1.139,-2.230,-0.600,2.575
0.315677,-1.107,-2.305,-0.601,2.626
0.316863,-1.072,-2.374,-0.611,2.675
0.319202,-1.026,-2.423,-0.618,2.703
0.321782,-0.970,-2.471,-0.634,2.729
0.324451,-0.916,-2.525,-0.656,2.765
0.332162,-0.856,-2.579,-0.677,2.801
0.336998,-0.561,-2.617,-0.784,2.789
0.339618,-0.493,-2.621,-0.808,2.787
0.341920,-0.429,-2.612,-0.830,2.774
0.349074,-0.366,-2.578,-0.847,2.739
0.351993,-0.203,-2.365,-0.911,2.543
0.354549,-0.163,-2.279,-0.930,2.467
0.357134,-0.121,-2.182,-0.941,2.379
0.359796,-0.087,-2.075,-0.953,2.285
0.368654,-0.054,-1.953,-0.963,2.179
0.371897,0.063,-1.467,-0.950,1.749
0.374715,0.093,-1.354,-0.939,1.651
0.385807,0.122,-1.239,-0.927,1.553
0.389580,0.377,-0.647,-0.870,1.148
0.392170,0.429,-0.520,-0.869,1.100
0.398479,0.479,-0.404,-0.869,1.071
0.402091,0.625,-0.086,-0.875,1.079
0.404593,0.669,-0.015,-0.879,1.105
0.407087,0.711,0.044,-0.888,1.138
0.409617,0.759,0.106,-0.891,1.175
0.415305,0.801,0.149,-0.897,1.212
